头实体,关系,尾实体,依据,文献,品种,关系数量
干旱,抑制,茶多酚,"在水分胁迫下,茶树叶片碳氮合成代谢会减弱,使氨基酸和蛋白质的合成遭受严重影响,干早会促使叶片老化,使茶树新梢中茶多酚、素咖啡碱等含量显著降低，导致茶叶的品质下降。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
干旱,抑制,蛋白质,"在水分胁迫下,茶树叶片碳氮合成代谢会减弱,使氨基酸和蛋白质的合成遭受严重影响,干早会促使叶片老化,使茶树新梢中茶多酚、素咖啡碱等含量显著降低，导致茶叶的品质下降。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
干旱,促进,儿茶素,咖啡因、氨基酸和茶多酚等物质是茶叶品质的重要组成部分，干旱胁迫下茶叶中的总游离氨基酸、咖啡碱、总儿茶素等含量减少,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
干旱,促进,咖啡碱,咖啡因、氨基酸和茶多酚等物质是茶叶品质的重要组成部分，干旱胁迫下茶叶中的总游离氨基酸、咖啡碱、总儿茶素等含量减少,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
干旱,抑制,素咖啡碱,"在水分胁迫下,茶树叶片碳氮合成代谢会减弱,使氨基酸和蛋白质的合成遭受严重影响,干早会促使叶片老化,使茶树新梢中茶多酚、素咖啡碱等含量显著降低，导致茶叶的品质下降。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
高温,先增后降,氨基酸,"叶片中氨基酸含量随温度( 35 ～ 40 ℃) 升高略有增加，而增
加量是由蛋白质和多肽在酶的催化下水解所得，之后随温度的
升高，氨基酸分解加快，积累量减少，同时高温影响根系对养分
的吸收，从而影响氨基酸的合成，使得氨基酸含量急剧下降。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
高温,抑制,碳水化合物,"另外，高温下呼吸作用增强，可溶性碳水化合物被大量消耗，因降解量大于合成量，导致碳水化合物含量
呈下降趋势。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
高温,抑制,叶绿素,高温对光合作用的影响，一方面是通过降低叶绿素含量致使光合速率下降。叶绿素 a 和叶绿素总量随温度的升高均呈下降趋势,高温干旱对茶树生长和品质影响机理的研究进展,通用,1
谷氨酸 ,促进,鲜爽,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
谷氨酰胺 ,促进,鲜爽,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
光合辐照度,抑制,汤色,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音,1
光合辐照度,抑制,外形,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音,1
光合辐照度,抑制,香气,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音,1
光合辐照度,抑制,叶底,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音,1
光合辐照度,抑制,滋味,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音,1
光照,抑制,氨基酸,"遮荫有利于茶树游离氨基酸积累，遮荫栽培‘福鼎大白茶’游离氨基酸含量极显著高于不遮荫;遮荫后,2个品种鲜叶试样的水浸出物、儿茶素、咖啡碱、氨基酸含量显著增加,;除茶氨酸外,氨基酸组分变化总体呈增长趋势,按",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/通用;四川绿茶/福鼎大白茶/三花;四川绿茶/福鼎大白茶,3
光照,抑制,茶氨酸,"遮荫处理后,茶氨酸增量显著",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶,1
光照,抑制,茶多酚,遮荫后，可溶性糖的增量较小，FF增加 0.56%，FS 增加 1.98%；此外，茶多酚含量 FF 下降6.10%，FS 降低 6.89%，儿茶素含量 FF 下降 3.18%，FS下降3.84%;前期日照时数的减少，茶叶中氨基酸和茶多酚含量将分别增加和下降。,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;近55年来浙江省茶叶高温干旱灾害特征及防御技术研艽,四川绿茶;浙江绿茶,2
光照,抑制,儿茶素,"遮荫有利于茶树简单儿茶素的积累，‘福鼎大白茶’、‘三花1951’在遮蔽栽培后，苦涩味指数下降17.99%、12.28%，对于春末绿茶出现“鲜爽”感官品质具有重要贡献;遮荫后,2个品种鲜叶试样的水浸出物、儿茶素、咖啡碱、氨基酸含量显著增加,;遮荫后，可溶性糖的增量较小，FF增加 0.56%，FS 增加 1.98%；此外，茶多酚含量 FF 下降6.10%，FS 降低 6.89%，儿茶素含量 FF 下降 3.18%，FS下降3.85%;低强度短时间的光照促进茶树体内儿茶素的积累，而光照过多则会抑制儿茶素的积累。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;影响茶树生长和茶叶品质的主要环境因子及其适应机制,四川绿茶/通用;四川绿茶/福鼎大白茶/三花;四川绿茶;通用,4
光照,抑制,咖啡碱,"遮荫后,2个品种鲜叶试样的水浸出物、儿茶素、咖啡碱、氨基酸含量显著增加,",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/福鼎大白茶/三花,1
光照,抑制,可溶性糖,"遮荫后,可溶性糖的增量较小",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶,1
光照,促进,苦,"遮荫后,FF与F相比,甜味、甜略苦、苦略甜、甜而回味苦有增加趋势,分别增加 0.02%、0.23%、0.99%、1.84%,而鲜爽味、苦味有下降趋势，分别下降2.69%、0.41%;;与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.34%。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/福鼎大白茶;四川绿茶/三花1594,2
光照,促进,苦略甜,"与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.35%。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/三花1595,1
光照,抑制,绿尚亮,"遮荫后叶底差异明显,均由黄绿尚亮转为绿尚亮。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶,1
光照,抑制,深绿,"外形上,遮荫采制茶样的色泽均为深绿。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶,1
光照,抑制,水浸出物,"遮荫后,2个品种鲜叶试样的水浸出物、儿茶素、咖啡碱、氨基酸含量显著增加,",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/福鼎大白茶/三花,1
光照,促进,汤色,"汤色上,遮荫后的评分均略有下降。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/福鼎大白茶,1
光照,促进,甜,"与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.32%。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/三花1592,1
光照,抑制,鲜爽,"与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.31%。;遮荫后的滋味表现为鲜爽或较鲜爽,其中FF滋味表现为“鲜爽”,可能是因为遮荫使得游离氨基酸含量上升。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/三花1591;四川绿茶/福鼎大白茶,2
光照,抑制,香气持久,遮荫后FF香气更为持久。,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/福鼎大白茶,1
海拔,促进,氨基酸,"与平地茶相比，高山茶的酚氨比值小，氨基酸含量高，形成了滋味鲜浓
的高山茶特色。;随着海拔的升高，氨基酸含量逐渐升高，儿茶素含量呈现先降低后升高的趋势；儿茶素含量随海拔升高而变化；黄酮类（醇类）苷含量在各海拔范围内变化不明显。;在一定的海拔范围内，海拔升高会增强茶树的N代谢，有利于氨基酸等化合物的积累（Wang et al ., 2022b）。随着海拔的升高，氨基酸和咖啡因的含量增加，而茶多酚的丰度在海拔超过800 m后开始增加，然后开始下降（Wang et al, 2022c）",山东绿茶品质的影响因素分析;Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,山东绿茶/通用;宣恩县茶;通用,3
海拔,促进,苯乙醇,在海拔700 ~ 799 m处，香叶醇和苯乙醇含量较低，但随海拔进一步升高而缓慢升高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,茶氨酸,随海拔的升高，儿茶素和茶多酚含量随之减少，茶氨酸增加，某些鲜爽、清香型芳香物质大量积累，形成了山东绿茶香气纯正、滋味醇厚、口感鲜爽的特点。;茶氨酸含量的变化与总氨基酸含量的变化一致。,山东绿茶品质的影响因素分析;Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,山东绿茶/通用;宣恩县茶,2
海拔,先增后降,茶多酚,"在一定的海拔范围内，海拔升高会增强茶树的N代谢，有利于氨基酸等化合物的积累（Wang et al ., 2022b）。随着海拔的升高，氨基酸和咖啡因的含量增加，而茶多酚的丰度在海拔超过800 m后开始增加，然后开始下降（Wang et al, 2024c）",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,先降后增,儿茶素,随着海拔的升高，氨基酸含量逐渐升高，儿茶素含量呈现先降低后升高的趋势；儿茶素含量随海拔升高而变化；黄酮类（醇类）苷含量在各海拔范围内变化不明显。;随着海拔的升高，总儿茶素含量先下降后上升（表3）,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,2
海拔,促进,芳樟醇氧化物,芳樟醇氧化物I和II的含量随海拔的升高而升高，在600 ~ 699 m处达到峰值，随后随海拔的升高而降低。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,抑制,酚氨比值,"与平地茶相比，高山茶的酚氨比值小，氨基酸含量高，形成了滋味鲜浓
的高山茶特色。",山东绿茶品质的影响因素分析,山东绿茶/通用,1
海拔,促进,谷氨酸,海拔越高，天冬氨酸和谷氨酸含量越高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,谷氨酰胺,谷氨酸和谷氨酰胺含量均随海拔升高而增加，在海拔700 ~ 799 m处达到峰值,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
海拔,无影响,黄酮类（醇类）,随着海拔的升高，氨基酸含量逐渐升高，儿茶素含量呈现先降低后升高的趋势；儿茶素含量随海拔升高而变化；黄酮类（醇类）苷含量在各海拔范围内变化不明显。;不同海拔地区的黄酮类（醇）苷含量差异不显著。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,2
海拔,抑制,挥发性苷,"海拔高度与挥发油苷丰度呈负相关（相关系数为0.328,P < 0.01）。",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
海拔,促进,精氨酸,精氨酸的含量在不同海拔仅次于茶氨酸，随着海拔的增加而增加（表S17）。不同海拔地区茶叶鲜叶中氨基酸含量相对较高。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
海拔,促进,咖啡因,"在一定的海拔范围内，海拔升高会增强茶树的N代谢，有利于氨基酸等化合物的积累（Wang et al ., 2022b）。随着海拔的升高，氨基酸和咖啡因的含量增加，而茶多酚的丰度在海拔超过800 m后开始增加，然后开始下降（Wang et al, 2023c）",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,七醛,"与低海拔地区的茶叶相比，高海拔地区茶叶中七醛和雪松醇的含量分别高出48%和60%，这是茶叶香气较高的主要原因（Liu et al ., 2015）",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,醛,醛、酮含量随海拔变化变化缓慢，总体随海拔升高而升高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,水杨酸甲酯,水杨酸甲酯含量随海拔升高而缓慢上升，在海拔800 ~ 899 m处达到峰值，随后缓慢下降,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,酸,在海拔600 ~ 699 m处，酸含量相对较低，但随着海拔的升高而升高。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,天冬氨酸,海拔越高，天冬氨酸和谷氨酸含量越高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,先增后降,萜烯醇,萜烯醇含量先升高，在海拔700 ~ 799 m处达到峰值（41.2%），然后随着海拔的升高而降低（表S10和S11）。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,酮,醛、酮含量随海拔变化变化缓慢，总体随海拔升高而升高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,香气,"与低海拔地区的茶叶相比，高海拔地区茶叶中七醛和雪松醇的含量分别高出48%和60%，这是茶叶香气较高的主要原因（Liu et al ., 2017）;与低海拔地区的茶叶相比，高海拔地区茶叶中七醛和雪松醇的含量分别高出48%和60%，这是茶叶香气较高的主要原因（Liu et al ., 2018）",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,2
海拔,促进,香叶醇,在海拔700 ~ 799 m处，香叶醇和苯乙醇含量较低，但随海拔进一步升高而缓慢升高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,雪松醇,"与低海拔地区的茶叶相比，高海拔地区茶叶中七醛和雪松醇的含量分别高出48%和60%，这是茶叶香气较高的主要原因（Liu et al ., 2016）",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,无影响,脂肪醇,脂肪醇含量随海拔变化变化不大，但在海拔> 900 m时最低。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
海拔,促进,总氨基酸,总氨基酸含量随海拔的升高而升高（表3）。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
海拔,促进,总酒精含量,总酒精含量最初随着海拔的升高而增加，但随后下降。700 ~ 799 m处酒精含量较高。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
含氮化合物,促进,鲜爽,气温低时，氨基酸、蛋白质及一些含氮化合物增 加，形成了茶叶鲜爽的滋味特点。 ,山东绿茶品质的影响因素分析,山东绿茶/通用,1
红橙光,促进,糖类物质,红橙光有利于茶树碳代谢和糖类物质合成,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
红光,促进, ECG ,红光、紫光和蓝光处理可降低 ECG 等组分的含量,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
红光,促进,多酚类物质,红光则能提升多酚类物质的含量。,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
红壤,促进,苯甲酸,红壤和黄壤的苯甲酸和棕榈酸含量最高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
红壤,促进,棕榈酸,红壤和黄壤的苯甲酸和棕榈酸含量最高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
化肥减施20%,抑制,酚氨比,化肥减施处理中，与 CK处理相比，化肥减施 20%，其茶叶内营养成分含量未发生显著变化，而酚氨比降低，提高了绿茶的品质，茶叶产量亦未出现明显差异,减施化肥和配施有机肥对茶园土壤养分及茶叶产量和品质的影响,浙江绿茶,1
黄壤,促进,苯甲酸,红壤和黄壤的苯甲酸和棕榈酸含量最高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
黄壤,促进,棕榈酸,红壤和黄壤的苯甲酸和棕榈酸含量最高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
混施有机肥,促进,氨基酸,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
混施有机肥,促进,茶多酚,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
混施有机肥,抑制,酚氨比,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
混施有机肥,促进,咖啡碱,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
混施有机肥,促进,水浸出物,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
间作大豆,抑制,d -葡萄糖- 6p,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
间作大豆,促进,谷氨酸,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
间作大豆,促进,谷氨酰胺,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
间作大豆,促进,精氨酸,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
间作大豆,促进,赖氨酸,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
间作大豆,抑制,蔗糖,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
降水不足,抑制,茶多酚,"降水不足会导致茶多酚和淀粉含量下降，而降水过多也会影响茶树的呼吸和养分吸收效率(Muoki et al ., 2020；Wijeratne et al, 2007)。",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
降水不足,抑制,淀粉,"降水不足会导致茶多酚和淀粉含量下降，而降水过多也会影响茶树的呼吸和养分吸收效率(Muoki et al ., 2020；Wijeratne et al, 2008)。",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
胶体芽孢杆菌基生物有机肥,促进,氨基酸,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
胶体芽孢杆菌基生物有机肥,促进,茶多酚,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
胶体芽孢杆菌基生物有机肥,促进,咖啡因,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
精氨酸,促进,甜而回味苦,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
巨芽孢杆菌生物有机肥,促进,氨基酸,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
巨芽孢杆菌生物有机肥,促进,茶多酚,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
巨芽孢杆菌生物有机肥,促进,咖啡因,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
空气湿度,促进,氨基酸,"因为空气中较高的湿度不仅能抑制茶叶中纤维素的合成，保持芽叶柔嫩，而且能够增强太阳辐射的漫射
效应，有利于茶多酚、氨基酸等芳香物质的形成( 张玮玮等，2013) 。",近55年来浙江省茶叶高温干旱灾害特征及防御技术研艽,安徽茶,1
空气湿度,抑制,氨基酸,园空气湿度的3个指标与茶青产量呈正相关关系，与茶青杂率呈负相关关系，而与茶青品质的咖啡碱、茶多酚2个生化指标呈正相关关系，与氨基酸和叶绿素含量呈负相关关系。,南京地区大棚茶园小气候特征及对茶青产量和品质效应,南京绿茶,1
空气湿度,促进,茶多酚,因为空气中较高的湿度不仅能抑制茶叶中纤维素的合成，保持芽叶柔嫩，而且能够增强太阳辐射的漫射效应，有利于茶多酚、氨基酸等芳香物质的形成( 张玮玮等，2012) 。;园空气湿度的3个指标与茶青产量呈正相关关系，与茶青杂率呈负相关关系，而与茶青品质的咖啡碱、茶多酚2个生化指标呈正相关关系，与氨基酸和叶绿素含量呈负相关关系。,近55年来浙江省茶叶高温干旱灾害特征及防御技术研艽;南京地区大棚茶园小气候特征及对茶青产量和品质效应,安徽茶;南京绿茶,2
空气湿度,促进,咖啡碱,园空气湿度的3个指标与茶青产量呈正相关关系，与茶青杂率呈负相关关系，而与茶青品质的咖啡碱、茶多酚2个生化指标呈正相关关系，与氨基酸和叶绿素含量呈负相关关系。,南京地区大棚茶园小气候特征及对茶青产量和品质效应,南京绿茶,1
