头实体,关系,尾实体,依据,文献,品种,关系数量
绿茶,包含,咖啡因,"土壤pH与NH+ 6 -N、游离氨基酸、土壤pH与咖啡因呈倒u型关系。;在茶叶品质方面，施用土壤改良剂显著提高了茶中咖啡因含量，BF和BMF处理显著提高了茶多酚、游离氨基酸和水提取物含量。此外，BMF显著降低了多酚与氨基酸的比例。;巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。;BMF处理显著提高了茶叶品质，包括茶多酚、氨基酸、咖啡因和水提取物含量，分别比对照提高了16.46%、32.67%、39.22%和22.56%。;在一定的海拔范围内，海拔升高会增强茶树的N代谢，有利于氨基酸等化合物的积累（Wang et al ., 2022b）。随着海拔的升高，氨基酸和咖啡因的含量增加，而茶多酚的丰度在海拔超过800 m后开始增加，然后开始下降（Wang et al, 2023c）","A Quadratic Regression Model to Quantify Plantation Soil Factors That Affect Tea Quality;Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden;Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea;Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ",信阳毛尖茶;福建茶;浙江茶;通用,7
绿茶,包含,可溶性蛋白,与NL相比，50%NL显著降低了无蚜茶苗叶片SPs（-15.90%）、SSs（-68.95%）和FFAs（-23.58%）含量，70%NL也显著降低了无蚜茶苗叶片SSs含量（-39.24%）(P<0.05；图3A)，而50%NL显著提高了叶片SPs（+40.89%）、SSs（+89.81%）和FAAs含量，蚜虫侵染显著增加（+42.96%）,"Infuence of?reduced N-fertilizer application 
on?foliar chemicals and?functional qualities 
of?tea plants under?Toxoptera?aurantii infestation",龙井茶,1
绿茶,包含,可溶性糖,"与NL相比，50%NL显著降低了无蚜茶苗叶片SPs（-15.90%）、SSs（-68.95%）和FFAs（-23.58%）含量，70%NL也显著降低了无蚜茶苗叶片SSs含量（-39.24%）(P<0.05；图3A)，而50%NL显著提高了叶片SPs（+40.89%）、SSs（+89.81%）和FAAs含量，蚜虫侵染显著增加（+42.97%）;遮荫后,可溶性糖的增量较小;黄云英盛花期，大豆间作茶树的茶氨基酸和可溶性糖含量分别增加了6.89%和54.59%。","Infuence of?reduced N-fertilizer application 
on?foliar chemicals and?functional qualities 
of?tea plants under?Toxoptera?aurantii infestation;四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;Leguminous green manure intercropping changes the soil microbial community and increases soil nutrients and key quality components of tea leaves",龙井茶;四川绿茶;不明,4
绿茶,包含,苦,"表9 遮荫处理下鲜叶的游离氨基酸组分分析;遮荫后,FF与F相比,甜味、甜略苦、苦略甜、甜而回味苦有增加趋势,分别增加 0.02%、0.23%、0.99%、1.84%,而鲜爽味、苦味有下降趋势，分别下降2.69%、0.41%;;与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.34%。;遮荫后,FF与F相比,甜味、甜略苦、苦略甜、甜而回味苦有增加趋势,分别增加 0.02%、0.23%、0.99%、1.84%,而鲜爽味、苦味有下降趋势，分别下降2.69%、0.39%;;与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.34%。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用;四川绿茶/福鼎大白茶;四川绿茶/三花1594,8
绿茶,包含,苦黄酮,套作中尿囊酸、糖、糖醇和油酸含量高于单作，苦黄酮含量低于单作,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,苦略甜,"表9 遮荫处理下鲜叶的游离氨基酸组分分析;与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.35%。;遮荫后,FF与F相比,甜味、甜略苦、苦略甜、甜而回味苦有增加趋势,分别增加 0.02%、0.23%、0.99%、1.86%",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用;四川绿茶/三花1595;四川绿茶/福鼎大白茶,6
绿茶,包含,苦涩味,遮光后茶叶茶多酚、粗纤维含量减少，叶绿素、咖啡碱、氨基酸含量增加 ，茶叶的持嫩性增加、苦涩味减少、鲜爽度提高颜色要较对照绿，绿茶的品质得到提高;遮荫后，茶叶茶多酚、粗纤维含量减少，相比对照，茶多酚最高减少13.45%，粗纤维最多减少56.4%:叶绿素、咖啡碱、氨基酸含量增加，相比对照，三者的增加最大值分别为40.65%、18.80%和15.100%。故遮荫后茶叶的持嫩性增加、苦涩味减少、鲜爽度提高，颜色较对照绿，绿茶的品质得到提高。,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响;茶园遮荫栽培与茶叶品质相关性机理的研究,亚热带丘陵茶,2
绿茶,包含,赖氨酸,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
绿茶,包含,赖氨酸 ,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
绿茶,包含,酪氨酸 ,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
绿茶,包含,利比醇,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,栗香持久,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
绿茶,包含,亮氨酸 ,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
绿茶,包含,磷,此外，在采摘前中期，施用叶面肥 1 和叶面肥 4 可适当促进茶树对氮、磷、钾的吸收。;此外，在采摘前中期，施用叶面肥 1 和叶面肥 5 可适当促进茶树对氮、磷、钾的吸收。,喷施叶面肥对春茶产量及品质的影响,春茶,2
绿茶,包含,绿尚亮,"遮荫后叶底差异明显,均由黄绿尚亮转为绿尚亮。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶,2
绿茶,包含,麦芽糖二糖,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,茉莉内酯,间作条件下，茉莉内酯、油酸和硬脂酰肉碱等脂质上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,茉莉酸甲酯,"绿茶中主要的芳香活性挥发物有芳樟醇、芳樟醇氧化物、香叶醇、顺式茉莉醇、吲哚、香豆素、二氢actinidiolide、茉莉酸甲酯、6-氯吲哚、5,6-环氧-β-ionone、反式香叶酮、叶绿醇和苯乙醇[38",Recent Advances in Volatiles of Teas,绿茶,1
绿茶,包含,尿囊酸,套作中尿囊酸、糖、糖醇和油酸含量高于单作，苦黄酮含量低于单作;与单作相比，间作中11种有机酸显著上调，7种显著下调。尿囊酸的偶联酸尿囊酸上调幅度最大（3.3倍）,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,2
绿茶,包含,脯氨酸,间作的l -丙氨酸（Ala）、l -脯氨酸（Pro）、苯丙氨酸（Phe）、l -丝氨酸（Ser）和l -谷氨酰胺（Gln）含量明显高于单作。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,脯氨酸 ,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
绿茶,包含,七醛,"与低海拔地区的茶叶相比，高海拔地区茶叶中七醛和雪松醇的含量分别高出48%和60%，这是茶叶香气较高的主要原因（Liu et al ., 2015）",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
绿茶,包含,芹菜素,黄酮类化合物仅在阳性模式下检测到；其中2个显著上调，4个显著下调。芹菜素增加1.76倍,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,清鲜,900kg商品有机肥处理能增加茶芽的发芽密度及百芽重；在成品茶感官品质上表现为香气更为高爽清鲜，味道更为鲜爽甘甜；茶叶的氨基酸含量更高，茶多酚含量更低，氨酚比更适宜，且以EGCG、EGC为代表的儿茶素含量更低。,有机肥部分替代化肥对成龄绿茶产量及品质的影响,成龄茶,1
绿茶,包含,醛,醛、酮含量随海拔变化变化缓慢，总体随海拔升高而升高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
绿茶,包含,犬尿酸,两种模式下间作样品的黄嘌呤酸（XA）含量均高于T处理样品，而犬尿酸（KA）含量均低于T处理样品,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,色泽翠绿,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
绿茶,包含,深绿,"外形上,遮荫采制茶样的色泽均为深绿。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶,2
绿茶,包含,鼠李糖,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,水果味,粘土中种植的葡萄果实具有更强的花香、甜味和水果香味，并且含有更少的己酸乙酯、异戊醇、异丁醇、z- 3-己醇和1-己醇,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
绿茶,包含,水浸出物,"遮荫后,2个品种鲜叶试样的水浸出物、儿茶素、咖啡碱、氨基酸含量显著增加,;单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小;叶面喷施 0.02 g/I处理茶叶各化学品质指标含量最高,化;结果表明,茶叶无机硒含量、有机硒含量与总硒含量随叶面喷施硒浓度的增加而增加。;各处理间水浸出物含量、咖啡碱含量不存在明显差异。;研究发现增施有机肥较习惯施肥提高了茶叶中水浸出物、游离氨基酸、茶多酚的含量，并降低了咖啡碱
含量和酚氨比;900kg商品有机肥处理能增加茶芽的发芽密度及百芽重；在成品茶感官品质上表现为香气更为高爽清鲜，味道更为鲜爽甘甜；茶叶的氨基酸含量更高，茶多酚含量更低，氨酚比更适宜，且以EGCG、EGC为代表的儿茶素含量更低。;2017 年全年茶青产量提高了 13.28%和2.5%，茶叶中的水浸出物、氨基酸和茶多酚的含量均有所提高，酚氨比降低，
提高了绿茶的品质。;在茶叶品质方面，施用土壤改良剂显著提高了茶中咖啡因含量，BF和BMF处理显著提高了茶多酚、游离氨基酸和水提取物含量。此外，BMF显著降低了多酚与氨基酸的比例。;茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园;茶园适度遮阴能降低茶树的光合作用，显著提高茶叶中氨基酸含量，增加水浸出物含量 P4252;遮荫后,2个品种鲜叶试样的水浸出物、儿茶素、咖啡碱、氨基酸含量显著增加,;肖润林等四研究表明,随遮荫程度的提高，茶叶中氨基酸、水浸出物显著提高。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响;叶面喷施硒肥对绿茶硒含量及品质的影响;高温时期遮荫处理对茶树生长的影响;有机肥+茶树专用肥”高效施用技术模式;有机肥部分替代化肥对成龄绿茶产量及品质的影响;减施化肥和配施有机肥对茶园土壤养分及茶叶产量和品质的影响;Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden;生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响;影响茶树生长和茶叶品质的主要环境因子及其适应机制;四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;南京地区大棚茶园小气候特征及对茶青产量和品质效应,四川绿茶/福鼎大白茶/三花;陕西茶;贵州绿茶都匀毛尖;亚热带丘陵红壤茶园;浙江绿茶;成龄茶;福建茶;亚热带丘陵茶;通用;四川绿茶/福鼎大白茶/三花;南京绿茶,14
绿茶,包含,水提取物含量,BMF处理显著提高了茶叶品质，包括茶多酚、氨基酸、咖啡因和水提取物含量，分别比对照提高了16.46%、32.67%、39.22%和22.56%。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
绿茶,包含,水杨酸甲酯,水杨酸甲酯含量随海拔升高而缓慢上升，在海拔800 ~ 899 m处达到峰值，随后缓慢下降,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
绿茶,包含,顺式茉莉醇,"绿茶中主要的芳香活性挥发物有芳樟醇、芳樟醇氧化物、香叶醇、顺式茉莉醇、吲哚、香豆素、二氢actinidiolide、茉莉酸甲酯、6-氯吲哚、5,6-环氧-β-ionone、反式香叶酮、叶绿醇和苯乙醇[34",Recent Advances in Volatiles of Teas,绿茶,1
绿茶,包含,丝氨酸,间作的l -丙氨酸（Ala）、l -脯氨酸（Pro）、苯丙氨酸（Phe）、l -丝氨酸（Ser）和l -谷氨酰胺（Gln）含量明显高于单作。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,丝氨酸 ,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
绿茶,包含,苏氨酸,"在调高的促味氨基酸中，l -蛋氨酸（Met）、Pro、Ala、l -苏氨酸（Thr）和Ser是甜味化合物；谷氨酸（Glu）、谷氨酸（Gln）、l -天冬氨酸（Asn）和l -天冬氨酸（Asp）构成鲜味；苯丙氨酸和l -甘氨酸（Gly）产生花香[Yu and Yang综述][18]。Asn在间作中上调幅度最大（3.30倍）。值得注意的是，对口感贡献最大的氨基酸，如Glu、Asp和Gln，在间作体系中浓度均在10,001 nmol/g以上，为间作体系中生产优质绿茶提供了丰富的原料",Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,苏氨酸 ,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
绿茶,包含,素咖啡碱,"在水分胁迫下,茶树叶片碳氮合成代谢会减弱,使氨基酸和蛋白质的合成遭受严重影响,干早会促使叶片老化,使茶树新梢中茶多酚、素咖啡碱等含量显著降低，导致茶叶的品质下降。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
绿茶,包含,酸,在海拔600 ~ 699 m处，酸含量相对较低，但随着海拔的升高而升高。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
绿茶,包含,碳水化合物,"另外，高温下呼吸作用增强，可溶性碳水化合物被大量消耗，因降解量大于合成量，导致碳水化合物含量
呈下降趋势。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
绿茶,包含,汤色,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。;汤色上,遮荫后的评分均略有下降。;土壤 pH 是影响铁观音秋茶感官品质的关键主导因子，其对秋茶外形和汤色呈负相关，与秋茶香气、滋味、叶底和综合得分，呈正相关;土壤速效磷对铁观音秋茶感官品质呈现出一致的正效应;是春季茶叶外形、汤色和茶叶综合得分的关键因子。;土壤速效钾是影响铁观音成茶感官审评综合得分的关键主导因子，对成茶综合得分影响的累积 VIP 值为 2.69，其对铁观音春、秋茶的滋味、汤色、叶底和茶叶综合评分均呈负相关，与春茶外形、秋茶香气呈正相关;施肥处理对于茶叶的汤色、叶底改变相对较小",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究;四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;有机肥部分替代化肥对成龄绿茶产量及品质的影响,铁观音;四川绿茶/福鼎大白茶;铁观音秋茶;铁观音秋茶;铁观音春茶;铁观音春秋茶;成龄茶,8
绿茶,包含,糖,套作中尿囊酸、糖、糖醇和油酸含量高于单作，苦黄酮含量低于单作,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,糖醇,套作中尿囊酸、糖、糖醇和油酸含量高于单作，苦黄酮含量低于单作,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,糖类物质,"适当的提高温度有利于茶树体内的碳代谢及糖类物质生成，糖类物质向多酚类物质的转化也加
快。 ;红橙光有利于茶树碳代谢和糖类物质合成",山东绿茶品质的影响因素分析;影响茶树生长和茶叶品质的主要环境因子及其适应机制,山东绿茶/通用;通用,2
绿茶,包含,天冬氨酸,"海拔越高，天冬氨酸和谷氨酸含量越高;在调高的促味氨基酸中，l -蛋氨酸（Met）、Pro、Ala、l -苏氨酸（Thr）和Ser是甜味化合物；谷氨酸（Glu）、谷氨酸（Gln）、l -天冬氨酸（Asn）和l -天冬氨酸（Asp）构成鲜味；苯丙氨酸和l -甘氨酸（Gly）产生花香[Yu and Yang综述][18]。Asn在间作中上调幅度最大（3.30倍）。值得注意的是，对口感贡献最大的氨基酸，如Glu、Asp和Gln，在间作体系中浓度均在10,002 nmol/g以上，为间作体系中生产优质绿茶提供了丰富的原料",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ;Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,通用;宝洪茶,2
绿茶,包含,天冬氨酸 ,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
绿茶,包含,天冬酰胺 ,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
绿茶,包含,甜,"表9 遮荫处理下鲜叶的游离氨基酸组分分析;与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.32%。;茶氨酸可缓解茶汤的苦涩味,增强甜味,提升茶氨酸含量对良好滋味的形成有重要意义。;遮荫后,FF与F相比,甜味、甜略苦、苦略甜、甜而回味苦有增加趋势,分别增加 0.02%、0.23%、0.99%、1.84%;粘土中种植的葡萄果实具有更强的花香、甜味和水果香味，并且含有更少的己酸乙酯、异戊醇、异丁醇、z- 3-己醇和1-己醇;茶氨酸可缓解茶汤的苦涩味,增强甜味,提升茶氨酸含量对良好滋味的形成有重要意义。;遮荫后,FF与F相比,甜味、甜略苦、苦略甜、甜而回味苦有增加趋势,分别增加 0.02%、0.23%、0.99%、1.84%",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用;四川绿茶/三花1592;四川绿茶/福鼎大白茶;宣恩县茶;四川绿茶,12
绿茶,包含,甜而回味苦,"与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.36%。;遮荫后,FF与F相比,甜味、甜略苦、苦略甜、甜而回味苦有增加趋势,分别增加 0.02%、0.23%、0.99%、1.87%;表9 遮荫处理下鲜叶的游离氨基酸组分分析",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/三花1596;四川绿茶/福鼎大白茶;通用,5
绿茶,包含,甜略苦,"与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.33%。;遮荫后,FF与F相比,甜味、甜略苦、苦略甜、甜而回味苦有增加趋势,分别增加 0.02%、0.23%、0.99%、1.85%;表9 遮荫处理下鲜叶的游离氨基酸组分分析",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/三花1593;四川绿茶/福鼎大白茶;通用,7
绿茶,包含,萜烯醇,萜烯醇含量先升高，在海拔700 ~ 799 m处达到峰值（41.2%），然后随着海拔的升高而降低（表S10和S11）。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
绿茶,包含,酮,醛、酮含量随海拔变化变化缓慢，总体随海拔升高而升高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
绿茶,包含,外形,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。;土壤 pH 是影响铁观音秋茶感官品质的关键主导因子，其对秋茶外形和汤色呈负相关，与秋茶香气、滋味、叶底和综合得分，呈正相关;土壤速效磷对铁观音秋茶感官品质呈现出一致的正效应;是春季茶叶外形、汤色和茶叶综合得分的关键因子。;土壤速效钾是影响铁观音成茶感官审评综合得分的关键主导因子，对成茶综合得分影响的累积 VIP 值为 2.69，其对铁观音春、秋茶的滋味、汤色、叶底和茶叶综合评分均呈负相关，与春茶外形、秋茶香气呈正相关",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音;铁观音秋茶;铁观音秋茶;铁观音春茶;铁观音春茶,5
绿茶,包含,维生素,"N和P主要参与氨基酸、维生素、叶绿素等物质的合成，直接调节茶树生化成分的含量和比例(Chen et al ., 2015；Lin et al, 2013);N和P主要参与氨基酸、维生素、叶绿素等物质的合成，直接调节茶树生化成分的含量和比例(Chen et al ., 2015；Lin et al, 2016)",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,2
绿茶,包含,纤维素,"因为空气中较高的湿度不仅能抑制茶叶中纤维素的合成，保持芽叶柔嫩，而且能够增强太阳辐射的漫射
效应，有利于茶多酚、氨基酸等芳香物质的形成( 张玮玮等，2011) 。",近55年来浙江省茶叶高温干旱灾害特征及防御技术研艽,安徽茶,1
绿茶,包含,鲜爽,"遮荫有利于茶树简单儿茶素的积累，‘福鼎大白茶’、‘三花1951’在遮蔽栽培后，苦涩味指数下降 17.99%、12.27%，对于春末绿茶出现“鲜爽”感官品质具有重要贡献;遮荫后,FF与F相比,甜味、甜略苦、苦略甜、甜而回味苦有增加趋势,分别增加 0.02%、0.23%、0.99%、1.84%,而鲜爽味、苦味有下降趋势，分别下降2.69%、0.40%;;与S相比;遮荫后FS鲜爽味增加了3.05%,而甜味、甜略苦、苦味、苦略甜、甜而回味苦呈下降趋势,分别下降了1.53%、0.24%、0.01%、0.96%、0.31%。;遮荫后的滋味表现为鲜爽或较鲜爽,其中FF滋味表现为“鲜爽”,可能是因为遮荫使得游离氨基酸含量上升。;气温低时，氨基酸、蛋白质及一些含氮化合物增 加，形成了茶叶鲜爽的滋味特点。 ;表9 遮荫处理下鲜叶的游离氨基酸组分分析;遮荫后,FF与F相比,甜味、甜略苦、苦略甜、甜而回味苦有增加趋势,分别增加 0.02%、0.23%、0.99%、1.84%,而鲜爽味、苦味有下降趋势，分别下降2.69%、0.38%;",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;山东绿茶品质的影响因素分析,四川绿茶/通用;四川绿茶/福鼎大白茶;四川绿茶/三花1591;四川绿茶/福鼎大白茶;山东绿茶/通用;通用,15
绿茶,包含,鲜爽度,遮光后茶叶茶多酚、粗纤维含量减少，叶绿素、咖啡碱、氨基酸含量增加 ，茶叶的持嫩性增加、苦涩味减少、鲜爽度提高颜色要较对照绿，绿茶的品质得到提高;遮荫后，茶叶茶多酚、粗纤维含量减少，相比对照，茶多酚最高减少13.45%，粗纤维最多减少56.4%:叶绿素、咖啡碱、氨基酸含量增加，相比对照，三者的增加最大值分别为40.65%、18.80%和15.101%。故遮荫后茶叶的持嫩性增加、苦涩味减少、鲜爽度提高，颜色较对照绿，绿茶的品质得到提高。,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响;茶园遮荫栽培与茶叶品质相关性机理的研究,亚热带丘陵茶,2
